date,time,cash_type,card,price,coffee_name
2024-01-01,07:11,card,ANON-9461,3.53,Cappuccino
2024-01-01,07:34,card,ANON-8694,3.78,Latte
2024-01-01,07:44,card,ANON-8160,2.49,Americano
2024-01-01,08:48,card,ANON-7270,3.78,Latte
2024-01-01,09:05,card,ANON-5502,3.04,Hot Chocolate
2024-01-01,09:45,card,ANON-7838,3.93,Flat White
2024-01-01,09:47,card,ANON-5549,3.19,Cortado
2024-01-01,10:26,card,ANON-9081,3.04,Hot Chocolate
2024-01-01,11:11,card,ANON-9301,3.78,Latte
2024-01-01,11:27,card,ANON-5460,3.5,Cappuccino
2024-01-01,11:33,card,ANON-8153,1.98,Espresso
2024-01-01,11:39,card,ANON-4761,2.97,Hot Chocolate
2024-01-01,11:51,card,ANON-4908,3.78,Latte
2024-01-01,12:12,cash,,3.91,Flat White
2024-01-01,12:13,card,ANON-2486,3.77,Latte
2024-01-01,12:17,card,ANON-8170,3.83,Latte
2024-01-01,12:18,card,ANON-9932,3.44,Cappuccino
2024-01-01,13:22,card,ANON-5053,2.02,Espresso
2024-01-02,06:25,card,ANON-5340,3.84,Latte
2024-01-02,06:26,card,ANON-4050,2.52,Americano
2024-01-02,06:43,card,ANON-3753,3.47,Cappuccino
2024-01-02,07:32,card,ANON-5685,2.49,Americano
2024-01-02,07:44,card,ANON-3449,3.18,Cortado
2024-01-02,07:59,card,ANON-6228,3.83,Latte
2024-01-02,08:57,cash,,3.18,Cortado
2024-01-02,09:37,card,ANON-1759,2.01,Espresso
2024-01-02,09:43,card,ANON-7542,3.25,Cortado
2024-01-02,10:29,card,ANON-7474,3.9,Flat White
2024-01-02,10:32,card,ANON-2262,2.92,Hot Chocolate
2024-01-02,12:39,card,ANON-2300,3.44,Cappuccino
2024-01-02,18:26,card,ANON-9439,3.39,Cappuccino
2024-01-03,06:13,card,ANON-9346,3.14,Cortado
2024-01-03,06:20,card,ANON-5776,2.97,Hot Chocolate
2024-01-03,06:39,card,ANON-8566,2.65,Americano
2024-01-03,07:32,cash,,3.84,Latte
2024-01-03,08:41,card,ANON-1759,3.8,Latte
2024-01-03,08:48,card,ANON-2730,3.75,Latte
2024-01-03,08:50,card,ANON-1160,3.46,Cappuccino
2024-01-03,09:46,card,ANON-2568,3.5,Cappuccino
2024-01-03,10:55,card,ANON-7509,2.01,Espresso
2024-01-03,11:30,card,ANON-3688,3.84,Flat White
2024-01-03,11:44,card,ANON-9757,3.85,Latte
2024-01-03,12:22,card,ANON-6596,2.5,Americano
2024-01-03,12:49,card,ANON-2402,3.79,Latte
2024-01-03,13:01,card,ANON-7947,3.56,Cappuccino
2024-01-03,13:06,cash,,3.43,Cappuccino
2024-01-03,14:10,card,ANON-9981,3.88,Flat White
2024-01-03,14:18,card,ANON-9641,3.19,Cortado
2024-01-03,14:22,cash,,3.73,Latte
2024-01-03,14:26,cash,,3.89,Flat White
2024-01-03,15:08,cash,,3.89,Flat White
2024-01-03,15:15,card,ANON-7719,3.87,Latte
2024-01-04,06:34,cash,,3.81,Latte
2024-01-04,06:50,cash,,3.84,Flat White
2024-01-04,09:52,card,ANON-6782,3.82,Latte
2024-01-04,10:14,card,ANON-3397,3.41,Cappuccino
2024-01-04,10:17,card,ANON-4862,3.85,Latte
2024-01-04,10:46,cash,,3.37,Cappuccino
2024-01-04,10:50,card,ANON-6545,2.99,Hot Chocolate
2024-01-04,11:35,card,ANON-7623,3.46,Cappuccino
2024-01-04,15:20,card,ANON-4307,3.48,Cappuccino
2024-01-05,06:05,card,ANON-9638,3.77,Latte
2024-01-05,06:10,card,ANON-7549,2.02,Espresso
2024-01-05,06:45,cash,,3.53,Cappuccino
2024-01-05,07:39,card,ANON-1316,2.04,Espresso
2024-01-05,07:56,card,ANON-2509,2.06,Espresso
2024-01-05,09:07,card,ANON-7566,3.46,Cappuccino
2024-01-05,09:18,card,ANON-2418,2.55,Americano
2024-01-05,10:12,card,ANON-6725,3.99,Flat White
2024-01-05,11:57,card,ANON-9381,2.0,Espresso
2024-01-05,12:08,cash,,3.04,Hot Chocolate
2024-01-05,13:40,card,ANON-9246,2.56,Americano
2024-01-05,13:44,card,ANON-9084,3.21,Cortado
2024-01-05,14:29,card,ANON-6920,3.77,Latte
2024-01-05,15:29,cash,,3.49,Cappuccino
2024-01-06,06:03,card,ANON-2737,3.84,Latte
2024-01-06,06:18,cash,,3.78,Latte
2024-01-06,06:24,card,ANON-2557,3.87,Flat White
2024-01-06,06:30,card,ANON-1490,3.92,Flat White
2024-01-06,06:36,card,ANON-3853,3.79,Latte
2024-01-06,07:00,cash,,3.51,Cappuccino
2024-01-06,07:36,cash,,2.99,Hot Chocolate
2024-01-06,08:32,card,ANON-8055,3.92,Flat White
2024-01-06,09:22,card,ANON-5303,3.88,Flat White
2024-01-06,09:32,card,ANON-7705,3.76,Latte
2024-01-06,10:24,card,ANON-6711,3.46,Cappuccino
2024-01-06,10:51,card,ANON-1260,3.79,Latte
2024-01-06,12:00,card,ANON-9194,2.99,Hot Chocolate
2024-01-06,12:39,card,ANON-9990,3.01,Hot Chocolate
2024-01-06,12:49,cash,,3.73,Latte
2024-01-06,13:05,card,ANON-6151,3.48,Cappuccino
2024-01-06,13:09,card,ANON-2335,2.02,Espresso
2024-01-06,13:32,card,ANON-3711,3.85,Latte
2024-01-06,13:35,cash,,3.74,Latte
2024-01-06,13:49,card,ANON-8540,2.96,Hot Chocolate
2024-01-06,16:58,card,ANON-2206,3.55,Cappuccino
2024-01-07,06:18,cash,,3.87,Latte
2024-01-07,07:25,cash,,3.75,Latte
2024-01-07,07:40,card,ANON-2076,3.77,Latte
2024-01-07,08:20,card,ANON-5941,2.5,Americano
2024-01-07,08:28,card,ANON-6688,3.83,Latte
